,Revenue,Revenue,Revenue,Impressions,Total_Revenue,,,,,,,,,
Partner,Fyber,Fyber_Video,MoPub,,,,,,,,,,,
Day,,,,,,,,,,,,,,
8/12/2019,537.6115115,7280.225998,6744.635273,40674548,14562.47278,,,,,,,,,
8/13/2019,486.9784226,7654.588414,6644.675912,40212568,14786.24275,,,,,,,,,
8/14/2019,475.3013354,8405.213644,6369.543302,38306588,15250.05828,,,,,,,,,
8/15/2019,481.7466846,7836.126134,5984.714098,36848554,14302.58692,,,,,,,,,
8/16/2019,439.4186948,7467.907174,6528.816212,36934248,14436.14208,,,,,,,,,
8/17/2019,428.6941147,10417.74449,10409.49709,40871168,21255.9357,,,,,,,,,
8/18/2019,453.4609752,10188.0989,10628.01229,42319501,21269.57217,,,,,,,,,
8/19/2019,378.5570157,9041.288156,8427.927439,37039009,17847.77261,,,,,,,,,
8/20/2019,493.8217907,7701.453587,5294.68776,35314444,13489.96314,,,,,,,,,
8/21/2019,409.937001,7559.706973,5084.322782,34002567,13053.96676,,,,,,,,,
